COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
102;0;440;4090.25641025641;4304.10256410256;5019.48717948718;4834.8717948718;4509.74358974359;4504.10256410256;4197.94871794872;4187.69230769231;4461.53846153846;4420.51282051282;3879.48717948718;4357.4358974359;4085.12820512821;4265.64102564103;1698;1681;406.609;406.372680664063;0;0;0;0;
103;0;443;4090.76923076923;4308.20512820513;5016.92307692308;4832.30769230769;4511.28205128205;4503.58974358974;4195.38461538462;4184.10256410256;4457.94871794872;4417.4358974359;3878.97435897436;4355.38461538462;4083.58974358974;4266.15384615385;1698;1682;406.617;406.372680664063;0;0;0;0;
104;0;461;4096.92307692308;4309.23076923077;5016.41025641026;4831.79487179487;4513.33333333333;4505.64102564103;4198.97435897436;4183.07692307692;4460.51282051282;4413.84615384615;3879.48717948718;4358.97435897436;4080;4266.66666666667;1697;1681;406.625;406.372680664063;0;0;0;0;
105;0;434;4098.46153846154;4307.69230769231;5017.4358974359;4834.35897435897;4514.35897435897;4506.15384615385;4200.51282051282;4184.10256410256;4461.02564102564;4411.28205128205;3876.92307692308;4357.4358974359;4077.4358974359;4266.66666666667;1697;1683;406.633;406.372680664063;0;0;0;0;
106;0;440;4093.84615384615;4303.07692307692;5014.8717948718;4828.71794871795;4511.28205128205;4495.89743589744;4194.35897435897;4179.48717948718;4454.35897435897;4408.71794871795;3874.8717948718;4354.35897435897;4077.4358974359;4266.15384615385;1698;1682;406.641;406.372680664063;0;0;0;0;
107;0;443;4089.74358974359;4298.46153846154;5013.33333333333;4826.15384615385;4507.17948717949;4494.35897435897;4194.8717948718;4181.53846153846;4458.97435897436;4408.20512820513;3875.89743589744;4357.94871794872;4075.89743589744;4264.61538461538;1697;1683;406.648;406.372680664063;0;0;0;0;
108;0;461;4089.23076923077;4301.02564102564;5017.94871794872;4830.25641025641;4508.71794871795;4504.10256410256;4200.51282051282;4193.33333333333;4473.33333333333;4410.76923076923;3876.92307692308;4364.10256410256;4075.38461538462;4266.15384615385;1699;1683;406.656;406.372680664063;0;0;0;0;
109;0;434;4089.23076923077;4306.15384615385;5020.51282051282;4831.79487179487;4510.76923076923;4506.66666666667;4198.46153846154;4189.23076923077;4467.17948717949;4413.33333333333;3876.41025641026;4368.20512820513;4077.94871794872;4272.30769230769;1698;1682;406.664;406.372680664063;0;0;0;0;
110;0;440;4090.25641025641;4310.76923076923;5024.10256410256;4835.38461538462;4508.71794871795;4503.58974358974;4197.4358974359;4179.48717948718;4459.48717948718;4412.30769230769;3876.92307692308;4374.8717948718;4077.94871794872;4277.94871794872;1699;1682;406.672;406.372680664063;0;0;0;0;
111;0;443;4097.4358974359;4314.8717948718;5034.35897435897;4840;4509.74358974359;4506.66666666667;4202.05128205128;4190.76923076923;4472.82051282051;4412.30769230769;3879.48717948718;4385.64102564103;4080.51282051282;4281.53846153846;1699;1681;406.68;406.372680664063;0;0;0;0;
