COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
61;0;0;4107.69230769231;4308.20512820513;5077.4358974359;4849.23076923077;4507.17948717949;4492.82051282051;4201.02564102564;4184.61538461538;4458.97435897436;4435.89743589744;3892.30769230769;4380;4114.8717948718;4293.84615384615;1697;1682;598.956;598.537780761719;0;0;0;0;
62;0;0;4107.69230769231;4309.74358974359;5085.12820512821;4854.35897435897;4511.28205128205;4502.5641025641;4200;4190.76923076923;4460.51282051282;4443.07692307692;3898.97435897436;4375.38461538462;4124.10256410256;4295.38461538462;1699;1682;598.964;598.537780761719;0;0;0;0;
63;0;0;4106.66666666667;4312.30769230769;5081.53846153846;4853.33333333333;4513.33333333333;4507.17948717949;4203.07692307692;4192.82051282051;4460.51282051282;4444.61538461538;3896.92307692308;4367.17948717949;4123.07692307692;4298.46153846154;1698;1681;598.972;598.537780761719;0;0;0;0;
64;0;444;4105.12820512821;4307.69230769231;5073.33333333333;4847.17948717949;4509.74358974359;4500;4198.97435897436;4186.15384615385;4458.46153846154;4435.38461538462;3888.71794871795;4357.4358974359;4113.84615384615;4296.92307692308;1699;1682;598.98;598.537780761719;0;0;0;0;
65;0;381;4098.97435897436;4302.05128205128;5071.79487179487;4844.61538461539;4507.69230769231;4495.89743589744;4190.25641025641;4182.05128205128;4455.89743589744;4428.20512820513;3881.02564102564;4347.69230769231;4106.66666666667;4285.12820512821;1700;1680;598.987;598.537780761719;0;0;0;0;
66;0;474;4095.89743589744;4303.07692307692;5072.30769230769;4847.69230769231;4511.79487179487;4502.05128205128;4193.33333333333;4184.61538461538;4454.35897435897;4428.71794871795;3879.48717948718;4342.05128205128;4106.15384615385;4280;1699;1681;598.995;598.537780761719;0;0;0;0;
67;0;484;4101.02564102564;4306.66666666667;5072.30769230769;4851.28205128205;4519.48717948718;4507.17948717949;4201.53846153846;4185.64102564103;4453.84615384615;4430.25641025641;3880;4337.4358974359;4107.69230769231;4282.05128205128;1700;1680;599.003;598.537780761719;0;0;0;0;
68;0;477;4103.58974358974;4308.71794871795;5078.97435897436;4848.20512820513;4522.05128205128;4506.66666666667;4204.10256410256;4186.15384615385;4454.8717948718;4432.82051282051;3877.94871794872;4332.30769230769;4106.15384615385;4280.51282051282;1700;1680;599.011;598.537780761719;0;0;0;0;
69;0;477;4100;4307.69230769231;5082.5641025641;4843.07692307692;4521.02564102564;4506.66666666667;4206.15384615385;4188.20512820513;4458.97435897436;4437.94871794872;3877.4358974359;4329.74358974359;4106.15384615385;4280;1699;1679;599.019;598.537780761719;0;0;0;0;
70;0;486;4094.8717948718;4305.64102564103;5076.41025641026;4845.64102564103;4521.02564102564;4506.66666666667;4207.69230769231;4187.69230769231;4458.46153846154;4436.41025641026;3880;4325.64102564103;4108.20512820513;4281.02564102564;1699;1681;599.027;598.537780761719;0;0;0;0;
71;0;423;4093.33333333333;4304.61538461538;5071.28205128205;4847.17948717949;4516.92307692308;4504.61538461538;4201.02564102564;4183.07692307692;4448.71794871795;4427.69230769231;3876.92307692308;4315.89743589744;4102.05128205128;4278.97435897436;1700;1681;599.034;598.537780761719;0;0;0;0;
72;0;416;4092.82051282051;4300.51282051282;5073.33333333333;4844.61538461539;4513.33333333333;4504.61538461538;4198.46153846154;4183.58974358974;4448.71794871795;4428.71794871795;3871.79487179487;4309.23076923077;4096.92307692308;4276.41025641026;1699;1682;599.042;598.537780761719;0;0;0;0;
