COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
126;0;457;4124.61538461538;4361.02564102564;5075.89743589744;4863.58974358974;4555.38461538462;4502.5641025641;4219.48717948718;4177.4358974359;4483.58974358974;4452.82051282051;3893.84615384615;4405.12820512821;4133.84615384615;4311.28205128205;1698;1681;705.089;704.488220214844;0;0;0;0;
127;0;438;4122.5641025641;4356.92307692308;5074.8717948718;4861.53846153846;4552.82051282051;4502.5641025641;4215.38461538462;4178.97435897436;4483.58974358974;4453.84615384615;3895.38461538462;4407.17948717949;4135.38461538462;4311.28205128205;1697;1682;705.097;704.488220214844;0;0;0;0;
128;0;451;4123.07692307692;4360;5075.38461538462;4861.53846153846;4553.33333333333;4511.79487179487;4216.41025641026;4187.17948717949;4479.48717948718;4449.23076923077;3895.89743589744;4410.25641025641;4137.4358974359;4313.84615384615;1698;1681;705.104;704.488220214844;0;0;0;0;
0;0;425;4130.76923076923;4366.66666666667;5077.94871794872;4865.12820512821;4555.38461538462;4524.10256410256;4218.97435897436;4185.64102564103;4480.51282051282;4452.82051282051;3897.94871794872;4410.76923076923;4140.51282051282;4317.4358974359;1697;1681;705.112;704.488220214844;0;0;0;0;
1;0;433;4133.84615384615;4368.20512820513;5075.89743589744;4867.69230769231;4556.41025641026;4514.35897435897;4215.89743589744;4180;4483.07692307692;4460.51282051282;3909.23076923077;4413.33333333333;4142.5641025641;4318.97435897436;1698;1682;705.12;704.488220214844;0;0;0;0;
2;0;464;4127.17948717949;4366.15384615385;5075.38461538462;4865.12820512821;4556.92307692308;4498.97435897436;4213.84615384615;4180.51282051282;4484.10256410256;4459.48717948718;3912.30769230769;4415.89743589744;4142.5641025641;4317.94871794872;1698;1680;705.128;704.488220214844;0;0;0;0;
3;0;479;4124.10256410256;4364.10256410256;5079.48717948718;4861.53846153846;4556.92307692308;4503.07692307692;4221.53846153846;4188.71794871795;4486.66666666667;4459.48717948718;3905.12820512821;4412.82051282051;4144.10256410256;4318.46153846154;1697;1682;705.136;704.488220214844;0;0;0;0;
4;0;471;4124.10256410256;4359.48717948718;5075.38461538462;4860.51282051282;4556.41025641026;4509.23076923077;4228.71794871795;4186.66666666667;4483.07692307692;4456.41025641026;3897.4358974359;4406.66666666667;4135.89743589744;4315.38461538462;1698;1681;705.143;704.488220214844;0;0;0;0;
5;0;475;4118.97435897436;4353.84615384615;5066.66666666667;4861.02564102564;4561.53846153846;4506.15384615385;4226.15384615385;4171.79487179487;4473.33333333333;4441.53846153846;3889.74358974359;4402.5641025641;4123.58974358974;4306.66666666667;1698;1681;705.151;704.613342285156;0;0;0;0;
6;0;488;4116.92307692308;4353.33333333333;5070.25641025641;4862.5641025641;4568.71794871795;4504.61538461538;4226.66666666667;4172.30769230769;4478.46153846154;4442.5641025641;3890.25641025641;4404.10256410256;4127.17948717949;4306.66666666667;1698;1681;705.159;704.613342285156;0;0;0;0;
7;0;426;4122.5641025641;4360.51282051282;5078.97435897436;4862.05128205128;4568.71794871795;4504.10256410256;4230.76923076923;4184.10256410256;4491.28205128205;4459.48717948718;3902.5641025641;4411.28205128205;4141.53846153846;4317.94871794872;1699;1681;705.167;704.613342285156;0;0;0;0;
8;0;400;4126.15384615385;4365.64102564103;5079.48717948718;4866.66666666667;4564.61538461538;4509.23076923077;4223.58974358974;4184.61538461538;4491.79487179487;4465.12820512821;3911.79487179487;4415.89743589744;4151.28205128205;4327.17948717949;1698;1681;705.175;704.613342285156;0;0;0;0;
9;0;422;4125.64102564103;4364.10256410256;5076.41025641026;4875.89743589744;4564.61538461538;4518.46153846154;4214.8717948718;4182.5641025641;4490.76923076923;4458.46153846154;3910.25641025641;4412.82051282051;4152.82051282051;4328.20512820513;1698;1681;705.183;704.613342285156;0;0;0;0;
10;0;457;4128.20512820513;4367.17948717949;5075.38461538462;4875.89743589744;4567.69230769231;4520.51282051282;4218.97435897436;4185.64102564103;4494.35897435897;4461.02564102564;3907.17948717949;4411.79487179487;4153.33333333333;4325.12820512821;1699;1681;705.19;704.613342285156;0;0;0;0;
11;0;438;4134.8717948718;4374.8717948718;5077.4358974359;4873.84615384615;4570.76923076923;4521.53846153846;4220;4183.58974358974;4493.84615384615;4471.79487179487;3908.20512820513;4412.82051282051;4155.89743589744;4327.17948717949;1698;1681;705.198;704.613342285156;0;0;0;0;
12;0;451;4137.94871794872;4374.8717948718;5081.02564102564;4875.89743589744;4572.30769230769;4530.76923076923;4214.8717948718;4185.12820512821;4491.79487179487;4477.4358974359;3909.74358974359;4411.79487179487;4157.94871794872;4328.20512820513;1698;1682;705.206;704.613342285156;0;0;0;0;
13;0;399;4135.89743589744;4370.76923076923;5080.51282051282;4876.92307692308;4570.76923076923;4543.58974358974;4215.89743589744;4188.71794871795;4493.84615384615;4471.28205128205;3910.25641025641;4410.76923076923;4155.38461538462;4328.20512820513;1699;1680;705.214;704.613342285156;0;0;0;0;
14;0;457;4134.8717948718;4374.8717948718;5077.4358974359;4875.89743589744;4570.76923076923;4542.5641025641;4219.48717948718;4179.48717948718;4489.23076923077;4461.02564102564;3905.12820512821;4411.79487179487;4152.82051282051;4324.10256410256;1699;1681;705.222;704.613342285156;0;0;0;0;
15;0;438;4127.69230769231;4373.84615384615;5071.79487179487;4869.74358974359;4572.30769230769;4523.07692307692;4216.41025641026;4167.69230769231;4478.97435897436;4457.4358974359;3894.8717948718;4404.10256410256;4149.74358974359;4313.84615384615;1700;1681;705.229;704.613342285156;0;0;0;0;
16;0;0;4118.46153846154;4365.12820512821;5065.64102564103;4860;4568.71794871795;4503.58974358974;4213.84615384615;4164.61538461538;4474.35897435897;4451.79487179487;3887.17948717949;4393.84615384615;4140;4308.20512820513;1699;1681;705.237;704.613342285156;0;0;0;0;
17;0;0;4118.46153846154;4361.02564102564;5066.15384615385;4860;4563.58974358974;4505.12820512821;4216.41025641026;4167.17948717949;4475.38461538462;4446.15384615385;3889.23076923077;4397.4358974359;4134.8717948718;4311.79487179487;1699;1681;705.245;704.613342285156;0;0;0;0;
18;0;0;4120.51282051282;4368.20512820513;5069.23076923077;4868.71794871795;4565.64102564103;4520;4220.51282051282;4169.23076923077;4480.51282051282;4453.33333333333;3892.30769230769;4405.12820512821;4142.5641025641;4315.38461538462;1699;1681;705.253;704.613342285156;0;0;0;0;
19;0;0;4124.61538461538;4376.92307692308;5073.33333333333;4875.38461538462;4571.79487179487;4526.66666666667;4218.97435897436;4171.79487179487;4487.69230769231;4464.10256410256;3895.89743589744;4408.71794871795;4152.30769230769;4320;1699;1682;705.261;704.613342285156;0;0;0;0;
20;0;0;4137.94871794872;4382.05128205128;5080.51282051282;4878.97435897436;4573.84615384615;4529.23076923077;4218.46153846154;4173.33333333333;4492.82051282051;4464.61538461538;3905.12820512821;4412.30769230769;4154.8717948718;4328.20512820513;1698;1681;705.269;704.613342285156;0;0;0;0;
21;0;0;4137.94871794872;4381.53846153846;5080.51282051282;4878.97435897436;4572.30769230769;4535.38461538462;4224.10256410256;4170.25641025641;4489.23076923077;4460;3906.15384615385;4411.28205128205;4152.82051282051;4325.12820512821;1698;1681;705.276;704.738464355469;0;0;0;0;
22;0;0;4123.58974358974;4376.41025641026;5074.35897435897;4874.35897435897;4572.30769230769;4541.53846153846;4225.64102564103;4165.64102564103;4483.58974358974;4459.48717948718;3903.07692307692;4406.66666666667;4151.79487179487;4317.94871794872;1697;1681;705.284;704.738464355469;0;0;0;0;
23;0;0;4126.66666666667;4375.89743589744;5074.8717948718;4874.35897435897;4572.82051282051;4544.10256410256;4218.97435897436;4166.66666666667;4485.12820512821;4461.02564102564;3907.69230769231;4406.66666666667;4153.33333333333;4320.51282051282;1697;1682;705.292;704.738464355469;0;0;0;0;
24;0;0;4139.48717948718;4381.53846153846;5077.4358974359;4879.48717948718;4571.28205128205;4540.51282051282;4215.38461538462;4165.64102564103;4490.25641025641;4462.05128205128;3909.74358974359;4409.74358974359;4154.35897435897;4325.12820512821;1698;1680;705.3;704.738464355469;0;0;0;0;
25;0;0;4134.8717948718;4384.10256410256;5077.94871794872;4877.94871794872;4570.76923076923;4525.64102564103;4218.46153846154;4165.64102564103;4489.74358974359;4461.53846153846;3904.61538461539;4409.74358974359;4153.33333333333;4323.58974358974;1696;1682;705.308;704.738464355469;0;0;0;0;
26;0;0;4128.71794871795;4380.51282051282;5079.48717948718;4873.84615384615;4570.76923076923;4508.71794871795;4217.94871794872;4175.89743589744;4488.20512820513;4459.48717948718;3906.66666666667;4409.74358974359;4152.82051282051;4321.02564102564;1697;1682;705.316;704.738464355469;0;0;0;0;
27;0;0;4136.92307692308;4381.02564102564;5082.5641025641;4877.4358974359;4569.74358974359;4505.12820512821;4216.92307692308;4185.12820512821;4492.30769230769;4460;3910.25641025641;4414.8717948718;4154.35897435897;4325.64102564103;1696;1682;705.323;704.738464355469;0;0;0;0;
28;0;0;4141.02564102564;4383.07692307692;5081.53846153846;4878.46153846154;4568.20512820513;4507.69230769231;4223.07692307692;4183.58974358974;4492.30769230769;4461.53846153846;3901.53846153846;4415.89743589744;4153.84615384615;4327.69230769231;1696;1682;705.331;704.738464355469;0;0;0;0;
29;0;0;4132.82051282051;4375.89743589744;5076.41025641026;4872.30769230769;4568.20512820513;4509.74358974359;4226.66666666667;4182.05128205128;4487.69230769231;4458.97435897436;3894.8717948718;4411.28205128205;4148.71794871795;4319.48717948718;1696;1682;705.339;704.738464355469;0;0;0;0;
30;0;0;4126.66666666667;4371.28205128205;5073.84615384615;4871.79487179487;4568.20512820513;4505.64102564103;4229.23076923077;4184.10256410256;4489.23076923077;4451.28205128205;3895.38461538462;4408.20512820513;4142.5641025641;4315.38461538462;1696;1682;705.347;704.738464355469;0;0;0;0;
31;0;0;4124.10256410256;4373.33333333333;5075.89743589744;4872.82051282051;4568.71794871795;4495.38461538462;4231.79487179487;4182.05128205128;4485.64102564103;4445.12820512821;3892.82051282051;4406.66666666667;4136.41025641026;4315.89743589744;1696;1681;705.355;704.738464355469;0;0;0;0;
32;0;0;4123.58974358974;4371.79487179487;5078.46153846154;4871.79487179487;4569.74358974359;4488.20512820513;4227.69230769231;4184.10256410256;4480;4443.58974358974;3892.82051282051;4407.69230769231;4133.33333333333;4315.38461538462;1696;1682;705.362;704.738464355469;0;0;0;0;
33;0;0;4127.17948717949;4368.71794871795;5076.92307692308;4873.84615384615;4569.23076923077;4487.69230769231;4217.94871794872;4187.17948717949;4483.58974358974;4445.12820512821;3895.38461538462;4410.76923076923;4134.35897435897;4320.51282051282;1696;1682;705.37;704.738464355469;0;0;0;0;
34;0;0;4124.61538461538;4367.17948717949;5072.30769230769;4867.17948717949;4567.17948717949;4490.25641025641;4214.8717948718;4174.35897435897;4483.58974358974;4444.10256410256;3891.28205128205;4410.25641025641;4128.20512820513;4320.51282051282;1696;1682;705.378;704.738464355469;0;0;0;0;
35;0;0;4119.48717948718;4365.64102564103;5072.82051282051;4862.05128205128;4566.66666666667;4489.23076923077;4216.92307692308;4167.17948717949;4475.38461538462;4441.02564102564;3886.15384615385;4408.71794871795;4122.5641025641;4311.28205128205;1697;1681;705.386;704.738464355469;0;0;0;0;
36;0;0;4127.17948717949;4368.20512820513;5079.48717948718;4871.28205128205;4568.71794871795;4489.23076923077;4216.41025641026;4182.5641025641;4481.53846153846;4447.69230769231;3892.30769230769;4415.38461538462;4132.30769230769;4316.92307692308;1697;1681;705.394;704.738464355469;0;0;0;0;
37;0;0;4134.8717948718;4369.23076923077;5080;4873.33333333333;4569.74358974359;4496.92307692308;4214.8717948718;4192.82051282051;4492.30769230769;4457.94871794872;3901.53846153846;4422.5641025641;4141.02564102564;4329.23076923077;1697;1681;705.402;704.738464355469;0;0;0;0;
38;0;0;4127.17948717949;4366.15384615385;5076.92307692308;4862.05128205128;4568.71794871795;4506.15384615385;4215.38461538462;4186.15384615385;4488.71794871795;4458.97435897436;3897.4358974359;4419.48717948718;4135.38461538462;4327.69230769231;1698;1681;705.409;704.738464355469;0;0;0;0;
39;0;0;4124.10256410256;4369.74358974359;5080.51282051282;4858.97435897436;4569.74358974359;4506.66666666667;4221.53846153846;4181.02564102564;4485.12820512821;4456.92307692308;3892.30769230769;4417.94871794872;4134.8717948718;4325.12820512821;1698;1681;705.417;704.738464355469;0;0;0;0;
40;0;0;4134.35897435897;4376.41025641026;5084.61538461539;4868.71794871795;4570.76923076923;4504.61538461538;4228.71794871795;4188.71794871795;4490.76923076923;4462.5641025641;3902.05128205128;4425.12820512821;4145.12820512821;4331.79487179487;1699;1681;705.425;704.738464355469;0;0;0;0;
41;0;0;4136.92307692308;4373.84615384615;5082.5641025641;4871.79487179487;4570.25641025641;4510.25641025641;4231.28205128205;4193.33333333333;4492.82051282051;4464.61538461538;3912.30769230769;4429.74358974359;4144.61538461538;4333.33333333333;1698;1681;705.433;704.738464355469;0;0;0;0;
42;0;0;4134.35897435897;4371.28205128205;5077.4358974359;4865.12820512821;4569.74358974359;4521.02564102564;4229.74358974359;4189.74358974359;4490.25641025641;4459.48717948718;3906.66666666667;4424.61538461538;4137.94871794872;4329.23076923077;1700;1681;705.441;704.738464355469;0;0;0;0;
43;0;0;4136.41025641026;4374.35897435897;5075.38461538462;4862.5641025641;4568.71794871795;4533.33333333333;4222.5641025641;4187.69230769231;4488.20512820513;4460;3900.51282051282;4418.97435897436;4137.94871794872;4324.61538461538;1700;1680;705.448;704.738464355469;0;0;0;0;
44;0;0;4134.35897435897;4374.35897435897;5075.89743589744;4867.69230769231;4568.20512820513;4538.97435897436;4216.92307692308;4189.23076923077;4488.20512820513;4463.58974358974;3906.15384615385;4418.97435897436;4140;4323.58974358974;1699;1681;705.456;704.738464355469;0;0;0;0;
45;0;0;4130.76923076923;4372.30769230769;5076.41025641026;4872.30769230769;4568.71794871795;4540.51282051282;4220;4187.69230769231;4489.74358974359;4460;3911.28205128205;4422.05128205128;4137.94871794872;4325.12820512821;1700;1681;705.464;704.738464355469;0;0;0;0;
46;0;0;4132.82051282051;4375.38461538462;5078.46153846154;4872.82051282051;4571.28205128205;4539.48717948718;4220.51282051282;4185.64102564103;4491.28205128205;4462.5641025641;3911.28205128205;4424.10256410256;4142.5641025641;4324.61538461538;1699;1681;705.472;704.738464355469;0;0;0;0;
47;0;0;4136.92307692308;4382.05128205128;5081.02564102564;4876.92307692308;4572.82051282051;4522.5641025641;4216.92307692308;4188.71794871795;4496.41025641026;4474.8717948718;3906.66666666667;4422.05128205128;4152.82051282051;4325.64102564103;1699;1681;705.48;704.738464355469;0;0;0;0;
48;0;0;4137.4358974359;4380;5077.94871794872;4875.89743589744;4570.76923076923;4504.61538461538;4219.48717948718;4188.71794871795;4497.94871794872;4476.92307692308;3904.61538461539;4421.53846153846;4150.76923076923;4328.20512820513;1699;1680;705.488;704.738464355469;0;0;0;0;
49;0;0;4133.84615384615;4373.84615384615;5075.38461538462;4872.30769230769;4569.74358974359;4505.64102564103;4221.02564102564;4185.64102564103;4494.8717948718;4472.82051282051;3906.66666666667;4423.58974358974;4142.05128205128;4324.10256410256;1699;1681;705.495;704.738464355469;0;0;0;0;
50;0;0;4131.28205128205;4374.35897435897;5077.94871794872;4873.84615384615;4571.28205128205;4505.64102564103;4214.8717948718;4183.58974358974;4493.33333333333;4476.92307692308;3906.66666666667;4423.07692307692;4142.05128205128;4318.46153846154;1699;1681;705.503;704.738464355469;0;0;0;0;
51;0;0;4131.79487179487;4374.8717948718;5078.97435897436;4874.35897435897;4571.79487179487;4503.07692307692;4212.82051282051;4178.46153846154;4492.30769230769;4477.4358974359;3904.61538461539;4420;4143.07692307692;4318.46153846154;1699;1681;705.511;704.738464355469;0;0;0;0;
52;0;0;4130.76923076923;4372.30769230769;5077.4358974359;4869.23076923077;4569.23076923077;4519.48717948718;4217.4358974359;4186.66666666667;4490.76923076923;4471.79487179487;3906.15384615385;4423.58974358974;4140;4320;1699;1681;705.519;704.738464355469;0;0;0;0;
53;0;0;4125.64102564103;4372.30769230769;5080;4863.58974358974;4569.23076923077;4524.61538461538;4218.46153846154;4202.5641025641;4492.82051282051;4472.30769230769;3911.28205128205;4430.76923076923;4142.5641025641;4321.02564102564;1698;1682;705.527;704.738464355469;0;0;0;0;
54;0;0;4122.5641025641;4373.33333333333;5081.53846153846;4862.05128205128;4568.20512820513;4506.66666666667;4215.89743589744;4197.94871794872;4493.33333333333;4469.23076923077;3908.71794871795;4428.20512820513;4143.07692307692;4317.94871794872;1698;1681;705.534;704.738464355469;0;0;0;0;
55;0;0;4123.07692307692;4369.23076923077;5078.97435897436;4862.05128205128;4563.58974358974;4504.10256410256;4215.89743589744;4183.07692307692;4488.71794871795;4457.94871794872;3900;4423.58974358974;4136.41025641026;4312.82051282051;1697;1682;705.542;704.738464355469;0;0;0;0;
56;0;0;4122.5641025641;4365.64102564103;5081.02564102564;4860.51282051282;4563.58974358974;4513.84615384615;4220;4182.5641025641;4487.69230769231;4454.8717948718;3900;4426.15384615385;4133.84615384615;4315.89743589744;1698;1680;705.55;704.738464355469;0;0;0;0;
57;0;0;4123.07692307692;4365.12820512821;5082.5641025641;4861.02564102564;4563.07692307692;4505.12820512821;4220;4188.20512820513;4491.28205128205;4460;3901.02564102564;4426.66666666667;4136.41025641026;4319.48717948718;1697;1681;705.558;704.738464355469;0;0;0;0;
58;0;0;4123.58974358974;4364.10256410256;5080;4863.07692307692;4555.89743589744;4496.92307692308;4215.89743589744;4184.10256410256;4492.30769230769;4460.51282051282;3898.46153846154;4426.15384615385;4136.92307692308;4315.38461538462;1697;1682;705.566;704.738464355469;0;0;0;0;
59;0;0;4123.58974358974;4365.64102564103;5078.46153846154;4863.58974358974;4558.97435897436;4517.4358974359;4224.61538461538;4185.64102564103;4491.79487179487;4458.97435897436;3898.97435897436;4427.17948717949;4135.38461538462;4312.82051282051;1698;1680;705.574;704.738464355469;0;0;0;0;
60;0;0;4126.66666666667;4370.25641025641;5081.02564102564;4865.12820512821;4566.66666666667;4529.74358974359;4228.20512820513;4191.28205128205;4492.30769230769;4461.02564102564;3903.58974358974;4427.69230769231;4137.94871794872;4319.48717948718;1698;1682;705.581;704.738464355469;0;0;0;0;
61;0;0;4126.66666666667;4368.71794871795;5081.53846153846;4864.10256410256;4562.05128205128;4518.46153846154;4220;4189.23076923077;4492.82051282051;4462.05128205128;3899.48717948718;4424.61538461538;4138.97435897436;4321.02564102564;1698;1681;705.589;704.738464355469;0;0;0;0;
62;0;0;4122.05128205128;4364.10256410256;5076.92307692308;4860;4554.35897435897;4526.15384615385;4222.5641025641;4182.05128205128;4491.28205128205;4460.51282051282;3891.79487179487;4420.51282051282;4135.89743589744;4314.35897435897;1698;1683;705.597;704.738464355469;0;0;0;0;
63;0;0;4125.64102564103;4368.71794871795;5077.4358974359;4860.51282051282;4555.38461538462;4543.58974358974;4227.69230769231;4181.02564102564;4489.74358974359;4460;3895.89743589744;4422.5641025641;4135.38461538462;4314.35897435897;1698;1683;705.605;704.738464355469;0;0;0;0;
64;0;425;4130.76923076923;4374.35897435897;5081.02564102564;4863.07692307692;4562.5641025641;4514.8717948718;4217.4358974359;4186.66666666667;4489.23076923077;4460;3905.12820512821;4426.15384615385;4137.4358974359;4318.46153846154;1697;1683;705.613;704.738464355469;0;0;0;0;
