COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
77;0;399;4100.51282051282;4326.66666666667;5062.05128205128;4837.94871794872;4553.84615384615;4557.94871794872;4233.33333333333;4246.66666666667;4490.25641025641;4444.61538461538;3864.10256410256;4391.79487179487;4104.10256410256;4285.64102564103;1697;1681;442.42;442.153411865234;0;0;0;0;
78;0;459;4107.17948717949;4329.23076923077;5061.02564102564;4844.10256410256;4554.35897435897;4546.15384615385;4232.82051282051;4243.58974358974;4490.25641025641;4445.12820512821;3864.10256410256;4393.33333333333;4104.10256410256;4286.15384615385;1696;1681;442.427;442.153411865234;0;0;0;0;
79;0;440;4108.71794871795;4333.33333333333;5061.02564102564;4842.05128205128;4553.84615384615;4528.71794871795;4242.05128205128;4249.74358974359;4491.28205128205;4448.71794871795;3866.66666666667;4394.8717948718;4103.07692307692;4288.71794871795;1697;1681;442.436;442.153411865234;0;0;0;0;
80;0;450;4106.15384615385;4334.8717948718;5067.17948717949;4839.48717948718;4553.84615384615;4545.64102564103;4250.25641025641;4257.4358974359;4493.33333333333;4453.33333333333;3868.71794871795;4399.48717948718;4105.64102564103;4292.30769230769;1696;1681;442.444;442.153411865234;0;0;0;0;
81;0;399;4111.79487179487;4340;5073.33333333333;4845.12820512821;4556.41025641026;4581.02564102564;4249.74358974359;4253.84615384615;4497.4358974359;4457.94871794872;3873.84615384615;4402.05128205128;4110.76923076923;4297.94871794872;1696;1681;442.451;442.153411865234;0;0;0;0;
82;0;459;4114.8717948718;4341.02564102564;5069.74358974359;4846.66666666667;4556.92307692308;4583.58974358974;4244.61538461538;4247.69230769231;4498.46153846154;4454.8717948718;3874.8717948718;4401.02564102564;4108.20512820513;4297.4358974359;1696;1680;442.458;442.153411865234;0;0;0;0;
83;0;440;4110.25641025641;4334.35897435897;5063.07692307692;4843.58974358974;4555.89743589744;4558.46153846154;4236.41025641026;4248.20512820513;4492.82051282051;4447.17948717949;3867.17948717949;4401.53846153846;4101.53846153846;4288.71794871795;1696;1681;442.466;442.153411865234;0;0;0;0;
84;0;450;4107.17948717949;4334.35897435897;5067.17948717949;4844.61538461539;4555.38461538462;4552.30769230769;4234.8717948718;4250.25641025641;4489.74358974359;4445.12820512821;3866.66666666667;4402.05128205128;4100.51282051282;4286.66666666667;1696;1681;442.475;442.153411865234;0;0;0;0;
85;0;399;4108.71794871795;4339.48717948718;5070.76923076923;4846.66666666667;4553.84615384615;4564.61538461538;4236.41025641026;4248.71794871795;4493.33333333333;4447.69230769231;3870.76923076923;4400.51282051282;4100;4288.20512820513;1696;1681;442.482;442.153411865234;0;0;0;0;
86;0;459;4106.15384615385;4335.89743589744;5064.10256410256;4842.5641025641;4552.30769230769;4555.89743589744;4232.82051282051;4246.66666666667;4492.82051282051;4446.66666666667;3864.61538461539;4396.41025641026;4094.8717948718;4284.61538461538;1696;1681;442.491;442.153411865234;0;0;0;0;
87;0;440;4105.12820512821;4331.79487179487;5062.5641025641;4843.58974358974;4553.33333333333;4538.97435897436;4235.89743589744;4246.15384615385;4488.71794871795;4443.58974358974;3856.41025641026;4391.79487179487;4091.28205128205;4281.02564102564;1696;1681;442.498;442.153411865234;0;0;0;0;
88;0;450;4102.05128205128;4329.23076923077;5062.05128205128;4846.66666666667;4554.35897435897;4549.23076923077;4246.15384615385;4249.23076923077;4490.25641025641;4437.94871794872;3854.8717948718;4391.28205128205;4089.23076923077;4276.92307692308;1697;1681;442.506;442.153411865234;0;0;0;0;
89;0;399;4091.28205128205;4320;5051.79487179487;4833.33333333333;4552.82051282051;4574.35897435897;4248.20512820513;4247.69230769231;4490.76923076923;4430.76923076923;3848.71794871795;4388.71794871795;4084.10256410256;4271.79487179487;1695;1681;442.514;442.278533935547;0;0;0;0;
90;0;459;4089.23076923077;4318.46153846154;5049.74358974359;4827.17948717949;4551.28205128205;4589.74358974359;4245.64102564103;4245.64102564103;4487.69230769231;4433.33333333333;3845.64102564103;4387.69230769231;4084.61538461539;4274.8717948718;1697;1682;442.521;442.278533935547;0;0;0;0;
