COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
121;0;399;4113.84615384615;4381.02564102564;5073.33333333333;4883.07692307692;4586.15384615385;4586.15384615385;4241.02564102564;4256.41025641026;4550.76923076923;4435.38461538462;3882.05128205128;4466.15384615385;4834.35897435897;4338.97435897436;1699;1676;219.808;219.69660949707;0;0;0;0;
122;0;453;4107.69230769231;4377.4358974359;5067.69230769231;4881.02564102564;4587.17948717949;4589.74358974359;4237.4358974359;4253.84615384615;4540.51282051282;4429.23076923077;3878.97435897436;4460.51282051282;4893.84615384615;4329.23076923077;1700;1677;219.817;219.69660949707;0;0;0;0;
123;0;436;4111.79487179487;4374.35897435897;5071.28205128205;4884.61538461539;4589.23076923077;4594.8717948718;4240;4253.33333333333;4535.89743589744;4429.23076923077;3874.8717948718;4463.07692307692;4763.07692307692;4326.15384615385;1699;1677;219.823;219.69660949707;0;0;0;0;
124;0;451;4113.84615384615;4375.89743589744;5072.30769230769;4885.64102564103;4588.71794871795;4592.82051282051;4248.71794871795;4260;4542.5641025641;4434.35897435897;3872.82051282051;4464.61538461538;4728.71794871795;4330.25641025641;1701;1676;219.831;219.69660949707;0;0;0;0;
125;0;399;4112.30769230769;4380;5072.82051282051;4882.5641025641;4589.23076923077;4598.46153846154;4249.23076923077;4267.69230769231;4547.17948717949;4437.94871794872;3882.5641025641;4465.12820512821;5057.4358974359;4333.84615384615;1699;1677;219.839;219.69660949707;0;0;0;0;
126;0;453;4118.46153846154;4382.5641025641;5073.84615384615;4884.10256410256;4589.23076923077;4605.12820512821;4240.51282051282;4259.48717948718;4544.10256410256;4438.46153846154;3894.35897435898;4468.71794871795;5297.4358974359;4334.8717948718;1701;1678;219.854;219.69660949707;0;0;0;0;
127;0;436;4122.05128205128;4379.48717948718;5071.28205128205;4885.64102564103;4585.64102564103;4611.28205128205;4236.41025641026;4248.20512820513;4541.02564102564;4438.46153846154;3893.84615384615;4464.10256410256;5239.48717948718;4332.82051282051;1700;1676;219.855;219.69660949707;0;0;0;0;
128;0;451;4113.84615384615;4374.8717948718;5069.23076923077;4882.05128205128;4583.07692307692;4626.15384615385;4241.53846153846;4251.79487179487;4539.48717948718;4437.94871794872;3889.74358974359;4456.92307692308;5245.12820512821;4329.74358974359;1700;1679;219.862;219.69660949707;0;0;0;0;
0;0;421;4110.25641025641;4371.79487179487;5070.25641025641;4880.51282051282;4581.53846153846;4624.61538461538;4243.58974358974;4257.4358974359;4538.97435897436;4432.82051282051;3892.82051282051;4456.92307692308;5340;4327.17948717949;1700;1677;219.889;219.821716308594;0;0;0;0;
1;0;431;4111.28205128205;4371.28205128205;5069.74358974359;4881.53846153846;4578.97435897436;4602.05128205128;4241.02564102564;4261.53846153846;4544.10256410256;4431.28205128205;3894.35897435898;4458.97435897436;5324.61538461539;4324.10256410256;1700;1680;219.892;219.821716308594;0;0;0;0;
2;0;461;4107.69230769231;4370.76923076923;5065.12820512821;4881.02564102564;4581.53846153846;4599.48717948718;4244.61538461538;4268.71794871795;4551.28205128205;4437.94871794872;3890.25641025641;4460.51282051282;5205.12820512821;4326.15384615385;1700;1679;219.892;219.821716308594;0;0;0;0;
3;0;476;4109.74358974359;4373.84615384615;5067.69230769231;4884.61538461539;4584.61538461538;4615.38461538462;4248.20512820513;4268.71794871795;4552.30769230769;4442.05128205128;3885.12820512821;4459.48717948718;4928.20512820513;4332.30769230769;1699;1679;219.894;219.821716308594;0;0;0;0;
4;0;470;4115.38461538462;4375.38461538462;5070.76923076923;4889.23076923077;4584.10256410256;4611.79487179487;4245.64102564103;4264.10256410256;4552.30769230769;4440;3877.94871794872;4455.38461538462;4667.17948717949;4332.30769230769;1700;1679;219.902;219.821716308594;0;0;0;0;
5;0;473;4114.35897435897;4371.79487179487;5066.15384615385;4888.20512820513;4582.05128205128;4605.12820512821;4243.07692307692;4258.97435897436;4549.23076923077;4434.8717948718;3868.71794871795;4453.84615384615;4692.30769230769;4327.69230769231;1699;1680;219.909;219.821716308594;0;0;0;0;
6;0;485;4109.23076923077;4371.28205128205;5059.48717948718;4882.05128205128;4582.05128205128;4609.23076923077;4243.58974358974;4251.79487179487;4540.51282051282;4426.66666666667;3864.10256410256;4451.28205128205;4917.4358974359;4324.61538461538;1699;1679;219.917;219.821716308594;0;0;0;0;
7;0;421;4105.64102564103;4371.28205128205;5056.92307692308;4878.46153846154;4583.58974358974;4599.48717948718;4242.05128205128;4263.58974358974;4540;4416.92307692308;3865.64102564103;4443.58974358974;5075.38461538462;4319.48717948718;1698;1679;219.925;219.821716308594;0;0;0;0;
