COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
116;0;455;4098.46153846154;4328.20512820513;5044.10256410256;4848.71794871795;4516.41025641026;4507.69230769231;4199.48717948718;4209.23076923077;4473.33333333333;4422.5641025641;3890.25641025641;4393.33333333333;4120;4252.82051282051;1699;1679;320.582;320.275238037109;0;0;0;0;
117;0;446;4106.66666666667;4337.94871794872;5050.25641025641;4855.38461538462;4523.07692307692;4512.30769230769;4208.20512820513;4216.41025641026;4472.82051282051;4424.61538461538;3895.38461538462;4400;4131.28205128205;4262.05128205128;1701;1680;320.59;320.275238037109;0;0;0;0;
118;0;460;4109.74358974359;4343.58974358974;5050.25641025641;4855.38461538462;4525.64102564103;4517.94871794872;4216.41025641026;4222.05128205128;4483.07692307692;4428.71794871795;3900.51282051282;4406.15384615385;4135.38461538462;4269.23076923077;1699;1678;320.598;320.275238037109;0;0;0;0;
119;0;449;4106.66666666667;4334.35897435897;5047.69230769231;4852.82051282051;4520.51282051282;4517.4358974359;4216.92307692308;4223.07692307692;4482.05128205128;4427.17948717949;3894.8717948718;4401.53846153846;4126.15384615385;4261.53846153846;1699;1679;320.606;320.275238037109;0;0;0;0;
120;0;455;4104.61538461538;4330.76923076923;5048.20512820513;4850.76923076923;4520.51282051282;4514.35897435897;4212.82051282051;4230.76923076923;4478.97435897436;4424.61538461538;3894.8717948718;4398.46153846154;4119.48717948718;4257.4358974359;1699;1678;320.614;320.275238037109;0;0;0;0;
121;0;446;4104.61538461538;4333.33333333333;5049.74358974359;4845.12820512821;4521.53846153846;4516.41025641026;4215.38461538462;4233.33333333333;4483.58974358974;4423.58974358974;3897.4358974359;4401.02564102564;4116.92307692308;4260;1698;1679;320.622;320.275238037109;0;0;0;0;
122;0;460;4101.53846153846;4331.28205128205;5048.71794871795;4845.64102564103;4520;4523.07692307692;4217.4358974359;4223.07692307692;4483.58974358974;4423.58974358974;3895.38461538462;4400;4118.46153846154;4258.97435897436;1699;1678;320.63;320.275238037109;0;0;0;0;
123;0;449;4103.58974358974;4331.79487179487;5047.17948717949;4849.23076923077;4525.64102564103;4524.61538461538;4215.89743589744;4220.51282051282;4484.61538461538;4431.28205128205;3899.48717948718;4402.05128205128;4130.25641025641;4261.02564102564;1697;1679;320.637;320.275238037109;0;0;0;0;
124;0;455;4106.15384615385;4334.8717948718;5048.71794871795;4845.12820512821;4530.76923076923;4522.05128205128;4215.89743589744;4225.12820512821;4488.20512820513;4436.41025641026;3906.15384615385;4407.69230769231;4137.4358974359;4262.5641025641;1698;1679;320.645;320.275238037109;0;0;0;0;
125;0;446;4100.51282051282;4333.33333333333;5046.15384615385;4843.58974358974;4526.66666666667;4521.53846153846;4214.35897435897;4221.53846153846;4485.12820512821;4428.20512820513;3901.02564102564;4401.53846153846;4132.30769230769;4257.4358974359;1697;1679;320.653;320.275238037109;0;0;0;0;
