COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
100;0;463;4101.02564102564;4289.23076923077;5046.15384615385;4831.28205128205;4491.28205128205;4490.25641025641;4184.10256410256;4177.4358974359;4443.58974358974;4398.97435897436;3862.5641025641;4316.92307692308;4087.17948717949;4246.15384615385;1699;1681;610.356;610.047729492188;0;0;0;0;
101;0;438;4102.05128205128;4286.66666666667;5048.20512820513;4826.15384615385;4490.76923076923;4490.76923076923;4187.17948717949;4187.17948717949;4447.17948717949;4404.61538461538;3869.74358974359;4323.58974358974;4086.15384615385;4251.28205128205;1700;1681;610.364;610.047729492188;0;0;0;0;
102;0;440;4108.20512820513;4301.02564102564;5054.8717948718;4826.15384615385;4490.76923076923;4490.25641025641;4187.69230769231;4189.23076923077;4458.46153846154;4411.79487179487;3879.48717948718;4328.71794871795;4094.35897435898;4266.15384615385;1700;1679;610.372;610.047729492188;0;0;0;0;
103;0;439;4118.46153846154;4313.84615384615;5057.4358974359;4835.38461538462;4489.23076923077;4488.20512820513;4185.12820512821;4183.07692307692;4453.33333333333;4410.76923076923;3881.02564102564;4329.74358974359;4103.07692307692;4275.89743589744;1700;1680;610.38;610.047729492188;0;0;0;0;
104;0;463;4121.53846153846;4312.30769230769;5054.35897435897;4834.8717948718;4486.66666666667;4487.17948717949;4182.05128205128;4177.4358974359;4441.02564102564;4404.61538461538;3876.41025641026;4326.66666666667;4097.94871794872;4275.89743589744;1701;1679;610.387;610.047729492188;0;0;0;0;
105;0;438;4122.5641025641;4315.89743589744;5058.97435897436;4832.30769230769;4488.71794871795;4488.71794871795;4183.58974358974;4178.46153846154;4444.10256410256;4404.61538461538;3875.38461538462;4327.69230769231;4097.94871794872;4278.97435897436;1698;1680;610.395;610.047729492188;0;0;0;0;
106;0;440;4129.23076923077;4329.23076923077;5067.69230769231;4837.94871794872;4493.33333333333;4489.74358974359;4187.69230769231;4177.94871794872;4447.69230769231;4404.61538461538;3879.48717948718;4331.28205128205;4105.12820512821;4283.58974358974;1700;1681;610.403;610.047729492188;0;0;0;0;
107;0;439;4124.10256410256;4329.23076923077;5065.64102564103;4842.05128205128;4490.76923076923;4488.71794871795;4181.02564102564;4168.71794871795;4440.51282051282;4399.48717948718;3876.92307692308;4327.17948717949;4102.5641025641;4283.07692307692;1699;1679;610.411;610.047729492188;0;0;0;0;
108;0;463;4108.71794871795;4324.10256410256;5058.97435897436;4840;4487.17948717949;4487.17948717949;4174.8717948718;4165.12820512821;4438.97435897436;4395.89743589744;3866.66666666667;4322.5641025641;4095.89743589744;4280.51282051282;1699;1681;610.419;610.047729492188;0;0;0;0;
109;0;438;4110.25641025641;4333.84615384615;5057.94871794872;4842.05128205128;4490.25641025641;4487.17948717949;4180;4168.71794871795;4441.53846153846;4396.92307692308;3865.12820512821;4322.5641025641;4093.33333333333;4279.48717948718;1700;1681;610.427;610.047729492188;0;0;0;0;
