COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
4;0;478;4105.12820512821;4342.05128205128;5042.5641025641;4843.58974358974;4514.35897435897;4510.76923076923;4200.51282051282;4184.10256410256;4475.38461538462;4427.69230769231;3894.8717948718;4348.20512820513;4113.33333333333;4273.33333333333;1700;1679;295.891;295.754150390625;0;0;0;0;
5;0;479;4105.64102564103;4341.53846153846;5052.30769230769;4845.64102564103;4513.84615384615;4518.46153846154;4200;4185.64102564103;4475.38461538462;4424.10256410256;3891.28205128205;4350.25641025641;4107.17948717949;4271.28205128205;1699;1679;295.899;295.754150390625;0;0;0;0;
6;0;486;4105.12820512821;4340.51282051282;5055.38461538462;4845.12820512821;4518.46153846154;4524.10256410256;4205.64102564103;4184.10256410256;4474.8717948718;4418.97435897436;3883.58974358974;4346.66666666667;4104.61538461538;4272.82051282051;1700;1679;295.907;295.754150390625;0;0;0;0;
7;0;423;4101.02564102564;4340.51282051282;5046.66666666667;4842.05128205128;4525.64102564103;4520.51282051282;4204.61538461538;4177.4358974359;4468.71794871795;4414.8717948718;3877.94871794872;4341.02564102564;4101.53846153846;4268.20512820513;1699;1680;295.914;295.754150390625;0;0;0;0;
8;0;415;4095.89743589744;4336.92307692308;5043.07692307692;4842.05128205128;4516.92307692308;4511.79487179487;4198.46153846154;4168.71794871795;4462.5641025641;4411.28205128205;3877.4358974359;4340;4096.41025641026;4263.07692307692;1700;1679;295.922;295.754150390625;0;0;0;0;
9;0;429;4093.84615384615;4336.41025641026;5045.64102564103;4841.02564102564;4507.69230769231;4506.15384615385;4196.41025641026;4166.66666666667;4459.48717948718;4409.74358974359;3878.97435897436;4341.02564102564;4097.94871794872;4263.58974358974;1699;1680;295.93;295.754150390625;0;0;0;0;
10;0;441;4096.92307692308;4339.48717948718;5042.05128205128;4842.5641025641;4508.71794871795;4506.15384615385;4194.35897435897;4169.23076923077;4458.97435897436;4413.84615384615;3878.97435897436;4341.53846153846;4103.07692307692;4265.12820512821;1700;1680;295.938;295.754150390625;0;0;0;0;
11;0;441;4097.4358974359;4340;5044.10256410256;4844.61538461539;4511.28205128205;4506.15384615385;4189.74358974359;4168.71794871795;4465.64102564103;4417.4358974359;3880;4341.02564102564;4104.61538461538;4264.61538461538;1698;1681;295.946;295.754150390625;0;0;0;0;
12;0;464;4099.48717948718;4340.51282051282;5051.28205128205;4843.58974358974;4510.76923076923;4506.15384615385;4188.20512820513;4171.28205128205;4472.82051282051;4417.4358974359;3881.02564102564;4341.53846153846;4106.66666666667;4263.07692307692;1699;1682;295.954;295.754150390625;0;0;0;0;
13;0;437;4102.05128205128;4340.51282051282;5045.64102564103;4843.58974358974;4508.20512820513;4507.17948717949;4186.66666666667;4171.79487179487;4473.84615384615;4422.05128205128;3881.02564102564;4341.02564102564;4107.17948717949;4262.5641025641;1699;1681;295.961;295.754150390625;0;0;0;0;
14;0;441;4099.48717948718;4336.41025641026;5040.51282051282;4843.58974358974;4509.23076923077;4508.71794871795;4190.76923076923;4170.25641025641;4472.82051282051;4428.20512820513;3880.51282051282;4339.48717948718;4103.58974358974;4264.61538461538;1698;1683;295.969;295.754150390625;0;0;0;0;
15;0;441;4098.97435897436;4336.41025641026;5051.79487179487;4840.51282051282;4510.25641025641;4509.23076923077;4196.92307692308;4175.38461538462;4475.89743589744;4428.71794871795;3885.12820512821;4344.10256410256;4102.5641025641;4265.12820512821;1699;1682;295.977;295.754150390625;0;0;0;0;
16;0;0;4103.58974358974;4337.4358974359;5057.4358974359;4839.48717948718;4508.71794871795;4507.69230769231;4192.30769230769;4173.84615384615;4471.28205128205;4424.61538461538;3891.79487179487;4349.23076923077;4105.64102564103;4263.58974358974;1698;1682;295.985;295.754150390625;0;0;0;0;
17;0;0;4105.64102564103;4335.89743589744;5052.82051282051;4841.53846153846;4508.71794871795;4505.64102564103;4190.76923076923;4169.23076923077;4464.10256410256;4423.07692307692;3893.84615384615;4351.28205128205;4108.20512820513;4266.15384615385;1699;1680;295.993;295.754150390625;0;0;0;0;
18;0;0;4106.66666666667;4338.97435897436;5055.89743589744;4845.12820512821;4513.33333333333;4506.66666666667;4196.92307692308;4175.89743589744;4469.74358974359;4420.51282051282;3892.82051282051;4353.33333333333;4110.76923076923;4273.84615384615;1698;1681;296;295.754150390625;0;0;0;0;
19;0;0;4109.23076923077;4342.5641025641;5058.46153846154;4847.17948717949;4511.79487179487;4507.17948717949;4195.38461538462;4178.97435897436;4476.41025641026;4413.84615384615;3893.33333333333;4352.82051282051;4109.23076923077;4277.94871794872;1700;1680;296.008;295.754150390625;0;0;0;0;
20;0;0;4107.69230769231;4342.5641025641;5053.33333333333;4846.66666666667;4507.17948717949;4506.66666666667;4192.82051282051;4170.76923076923;4473.33333333333;4417.4358974359;3892.82051282051;4350.25641025641;4109.74358974359;4276.41025641026;1698;1680;296.016;295.754150390625;0;0;0;0;
21;0;0;4106.15384615385;4341.53846153846;5053.33333333333;4844.61538461539;4512.82051282051;4507.17948717949;4197.4358974359;4168.20512820513;4471.79487179487;4422.5641025641;3891.79487179487;4348.71794871795;4113.84615384615;4273.84615384615;1700;1680;296.024;295.754150390625;0;0;0;0;
22;0;0;4105.64102564103;4343.58974358974;5056.92307692308;4844.10256410256;4520;4508.20512820513;4199.48717948718;4169.74358974359;4474.8717948718;4416.92307692308;3892.82051282051;4345.12820512821;4113.33333333333;4275.38461538462;1699;1680;296.032;295.754150390625;0;0;0;0;
23;0;0;4107.69230769231;4347.17948717949;5055.38461538462;4844.10256410256;4521.02564102564;4508.20512820513;4196.41025641026;4168.71794871795;4474.35897435897;4416.41025641026;3893.33333333333;4343.58974358974;4113.84615384615;4277.94871794872;1700;1681;296.04;295.754150390625;0;0;0;0;
24;0;0;4116.41025641026;4350.76923076923;5058.46153846154;4849.23076923077;4517.4358974359;4507.69230769231;4192.82051282051;4169.74358974359;4473.84615384615;4427.17948717949;3896.92307692308;4350.76923076923;4121.53846153846;4281.02564102564;1700;1680;296.047;295.754150390625;0;0;0;0;
25;0;0;4121.53846153846;4353.84615384615;5065.12820512821;4852.30769230769;4514.8717948718;4505.12820512821;4187.69230769231;4170.76923076923;4475.89743589744;4429.23076923077;3899.48717948718;4356.92307692308;4125.64102564103;4282.05128205128;1699;1682;296.055;295.754150390625;0;0;0;0;
26;0;0;4120.51282051282;4355.89743589744;5067.69230769231;4849.23076923077;4517.94871794872;4504.10256410256;4186.15384615385;4170.76923076923;4475.89743589744;4425.64102564103;3897.94871794872;4357.4358974359;4124.61538461538;4281.02564102564;1701;1680;296.063;295.754150390625;0;0;0;0;
