COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
68;0;471;4100.51282051282;4351.28205128205;5076.41025641026;4846.15384615385;4531.79487179487;4480;4215.89743589744;4178.97435897436;4483.58974358974;4411.79487179487;3877.94871794872;4390.76923076923;3891.28205128205;4293.33333333333;1697;1681;763.141;762.538146972656;0;0;0;0;
69;0;475;4103.58974358974;4353.33333333333;5079.48717948718;4845.12820512821;4528.71794871795;4493.33333333333;4216.92307692308;4185.12820512821;4483.07692307692;4412.30769230769;3883.58974358974;4392.30769230769;3893.84615384615;4295.89743589744;1697;1680;763.149;762.538146972656;0;0;0;0;
70;0;488;4104.10256410256;4353.33333333333;5079.48717948718;4846.66666666667;4529.23076923077;4484.10256410256;4215.89743589744;4184.10256410256;4480;4412.30769230769;3883.58974358974;4393.84615384615;3895.89743589744;4296.41025641026;1696;1680;763.158;762.538146972656;0;0;0;0;
71;0;428;4106.15384615385;4355.38461538462;5077.94871794872;4846.66666666667;4527.69230769231;4482.5641025641;4216.41025641026;4180;4482.5641025641;4412.30769230769;3880;4393.84615384615;3895.89743589744;4297.94871794872;1697;1680;763.165;762.538146972656;0;0;0;0;
72;0;400;4108.71794871795;4360;5079.48717948718;4846.15384615385;4524.10256410256;4489.74358974359;4217.4358974359;4187.17948717949;4488.20512820513;4415.38461538462;3882.05128205128;4393.84615384615;3904.10256410256;4302.05128205128;1697;1681;763.172;762.538146972656;0;0;0;0;
73;0;422;4108.20512820513;4361.02564102564;5080;4851.28205128205;4528.20512820513;4480;4217.4358974359;4185.64102564103;4484.10256410256;4418.46153846154;3889.74358974359;4395.89743589744;3910.76923076923;4307.69230769231;1698;1680;763.18;762.538146972656;0;0;0;0;
74;0;457;4111.28205128205;4360;5078.97435897436;4854.35897435897;4537.94871794872;4468.71794871795;4216.92307692308;4182.05128205128;4481.02564102564;4416.92307692308;3891.28205128205;4396.92307692308;3910.76923076923;4308.71794871795;1696;1681;763.188;762.538146972656;0;0;0;0;
75;0;439;4110.25641025641;4359.48717948718;5075.38461538462;4848.71794871795;4536.92307692308;4478.97435897436;4216.92307692308;4193.33333333333;4485.64102564103;4413.84615384615;3883.58974358974;4393.84615384615;3910.25641025641;4303.07692307692;1697;1682;763.196;762.538146972656;0;0;0;0;
76;0;451;4100.51282051282;4358.46153846154;5069.23076923077;4844.10256410256;4531.28205128205;4492.82051282051;4215.89743589744;4199.48717948718;4484.61538461538;4410.76923076923;3875.89743589744;4387.17948717949;3903.07692307692;4295.38461538462;1698;1680;763.204;762.663208007813;0;0;0;0;
77;0;399;4096.41025641026;4357.4358974359;5071.79487179487;4844.61538461539;4535.89743589744;4495.38461538462;4215.89743589744;4189.74358974359;4482.05128205128;4412.82051282051;3877.94871794872;4384.61538461538;3896.41025641026;4294.35897435897;1697;1682;763.211;762.663208007813;0;0;0;0;
78;0;457;4103.58974358974;4355.38461538462;5076.41025641026;4849.74358974359;4536.41025641026;4492.82051282051;4219.48717948718;4183.58974358974;4483.58974358974;4415.89743589744;3883.58974358974;4389.74358974359;3904.10256410256;4301.53846153846;1698;1680;763.219;762.663208007813;0;0;0;0;
79;0;439;4108.20512820513;4355.38461538462;5077.4358974359;4854.8717948718;4528.20512820513;4492.30769230769;4217.94871794872;4186.15384615385;4484.10256410256;4417.94871794872;3883.58974358974;4394.35897435897;3912.82051282051;4307.17948717949;1697;1681;763.227;762.663208007813;0;0;0;0;
80;0;451;4109.23076923077;4361.02564102564;5080.51282051282;4858.46153846154;4527.69230769231;4490.76923076923;4214.8717948718;4189.23076923077;4483.07692307692;4421.02564102564;3886.66666666667;4393.84615384615;3910.25641025641;4306.15384615385;1698;1680;763.235;762.663208007813;0;0;0;0;
81;0;399;4111.28205128205;4365.12820512821;5083.07692307692;4856.92307692308;4536.41025641026;4490.25641025641;4221.53846153846;4197.4358974359;4489.74358974359;4422.5641025641;3895.89743589744;4394.35897435897;3910.25641025641;4308.20512820513;1698;1681;763.243;762.663208007813;0;0;0;0;
82;0;457;4110.76923076923;4359.48717948718;5078.46153846154;4849.74358974359;4539.48717948718;4494.35897435897;4226.66666666667;4201.02564102564;4492.30769230769;4418.46153846154;3898.46153846154;4395.38461538462;3910.76923076923;4310.25641025641;1698;1680;763.251;762.663208007813;0;0;0;0;
83;0;439;4112.82051282051;4355.38461538462;5077.94871794872;4849.74358974359;4535.89743589744;4493.33333333333;4220;4192.30769230769;4486.15384615385;4416.41025641026;3891.79487179487;4393.33333333333;3908.20512820513;4307.17948717949;1698;1680;763.258;762.663208007813;0;0;0;0;
84;0;451;4117.94871794872;4361.53846153846;5083.58974358974;4854.35897435897;4529.74358974359;4486.66666666667;4214.8717948718;4186.15384615385;4489.23076923077;4422.05128205128;3893.33333333333;4392.82051282051;3909.23076923077;4308.71794871795;1698;1680;763.266;762.663208007813;0;0;0;0;
85;0;399;4118.97435897436;4363.07692307692;5083.58974358974;4852.82051282051;4523.07692307692;4492.30769230769;4217.94871794872;4184.61538461538;4487.17948717949;4422.05128205128;3898.97435897436;4393.84615384615;3909.74358974359;4311.79487179487;1698;1681;763.274;762.663208007813;0;0;0;0;
86;0;457;4115.38461538462;4356.41025641026;5078.46153846154;4852.30769230769;4524.10256410256;4506.66666666667;4218.46153846154;4182.5641025641;4474.8717948718;4414.8717948718;3896.41025641026;4393.33333333333;3907.69230769231;4309.23076923077;1699;1680;763.282;762.663208007813;0;0;0;0;
87;0;439;4114.8717948718;4359.48717948718;5077.94871794872;4855.38461538462;4527.17948717949;4497.94871794872;4216.41025641026;4183.58974358974;4478.46153846154;4417.4358974359;3897.4358974359;4395.89743589744;3909.23076923077;4311.79487179487;1698;1681;763.29;762.663208007813;0;0;0;0;
88;0;451;4113.33333333333;4365.12820512821;5082.05128205128;4849.74358974359;4523.58974358974;4475.89743589744;4216.41025641026;4185.64102564103;4490.76923076923;4426.15384615385;3900;4400;3912.30769230769;4315.38461538462;1698;1680;763.298;762.663208007813;0;0;0;0;
89;0;399;4107.69230769231;4358.97435897436;5081.53846153846;4845.12820512821;4522.05128205128;4477.94871794872;4216.92307692308;4183.58974358974;4486.15384615385;4421.53846153846;3896.41025641026;4395.38461538462;3911.28205128205;4309.74358974359;1698;1681;763.305;762.663208007813;0;0;0;0;
90;0;457;4108.71794871795;4353.33333333333;5075.89743589744;4847.69230769231;4523.07692307692;4493.84615384615;4216.41025641026;4181.02564102564;4474.35897435897;4413.33333333333;3893.84615384615;4389.23076923077;3908.20512820513;4305.12820512821;1698;1680;763.313;762.663208007813;0;0;0;0;
91;0;439;4116.41025641026;4356.92307692308;5075.38461538462;4846.66666666667;4523.07692307692;4492.82051282051;4214.35897435897;4183.58974358974;4479.48717948718;4422.05128205128;3895.38461538462;4390.25641025641;3910.25641025641;4309.74358974359;1698;1681;763.321;762.663208007813;0;0;0;0;
92;0;451;4118.97435897436;4358.46153846154;5081.53846153846;4850.25641025641;4528.20512820513;4485.12820512821;4215.38461538462;4184.61538461538;4489.23076923077;4426.66666666667;3894.8717948718;4394.35897435897;3913.33333333333;4313.84615384615;1699;1681;763.329;762.788330078125;0;0;0;0;
