COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
57;0;0;4169.74358974359;4385.64102564103;5086.15384615385;4860.51282051282;4515.89743589744;4505.12820512821;4200;4168.20512820513;4486.15384615385;4414.8717948718;3908.71794871795;4382.5641025641;4123.07692307692;4339.48717948718;1700;1681;235.782;235.710372924805;0;0;0;0;
58;0;0;4165.64102564103;4386.15384615385;5086.15384615385;4868.20512820513;4521.02564102564;4506.66666666667;4200.51282051282;4167.69230769231;4489.23076923077;4418.46153846154;3901.53846153846;4381.02564102564;4122.5641025641;4337.94871794872;1701;1681;235.79;235.710372924805;0;0;0;0;
59;0;0;4159.48717948718;4383.07692307692;5082.5641025641;4868.71794871795;4521.02564102564;4504.61538461538;4197.4358974359;4166.66666666667;4480;4409.74358974359;3894.8717948718;4381.02564102564;4122.5641025641;4330.76923076923;1701;1681;235.798;235.710372924805;0;0;0;0;
60;0;0;4162.05128205128;4383.07692307692;5086.15384615385;4863.07692307692;4513.84615384615;4504.61538461538;4195.38461538462;4168.71794871795;4476.41025641026;4409.23076923077;3899.48717948718;4383.07692307692;4122.5641025641;4331.79487179487;1700;1682;235.806;235.710372924805;0;0;0;0;
61;0;0;4163.58974358974;4384.10256410256;5086.15384615385;4861.02564102564;4509.23076923077;4504.10256410256;4196.41025641026;4170.25641025641;4478.46153846154;4415.89743589744;3902.5641025641;4383.07692307692;4123.07692307692;4337.4358974359;1700;1681;235.814;235.710372924805;0;0;0;0;
62;0;0;4155.89743589744;4380.51282051282;5078.46153846154;4862.05128205128;4508.20512820513;4492.82051282051;4191.79487179487;4167.69230769231;4480;4411.28205128205;3901.02564102564;4382.05128205128;4121.53846153846;4334.8717948718;1701;1681;235.821;235.710372924805;0;0;0;0;
63;0;0;4154.8717948718;4381.53846153846;5080.51282051282;4864.10256410256;4508.20512820513;4492.82051282051;4190.25641025641;4171.28205128205;4487.17948717949;4409.74358974359;3906.15384615385;4382.05128205128;4122.5641025641;4333.84615384615;1699;1681;235.829;235.710372924805;0;0;0;0;
64;0;443;4159.48717948718;4384.10256410256;5085.12820512821;4865.12820512821;4508.20512820513;4503.58974358974;4197.94871794872;4176.92307692308;4492.30769230769;4413.84615384615;3910.25641025641;4384.61538461538;4124.61538461538;4336.92307692308;1699;1682;235.837;235.710372924805;0;0;0;0;
65;0;384;4156.92307692308;4381.53846153846;5077.4358974359;4863.07692307692;4509.23076923077;4499.48717948718;4199.48717948718;4172.30769230769;4486.15384615385;4411.79487179487;3906.15384615385;4383.07692307692;4123.07692307692;4335.89743589744;1698;1683;235.845;235.710372924805;0;0;0;0;
66;0;469;4153.33333333333;4380.51282051282;5070.25641025641;4860.51282051282;4510.25641025641;4491.79487179487;4194.8717948718;4168.71794871795;4483.58974358974;4409.74358974359;3904.10256410256;4380;4122.05128205128;4333.33333333333;1699;1683;235.853;235.710372924805;0;0;0;0;
67;0;481;4153.84615384615;4380;5071.79487179487;4862.05128205128;4506.66666666667;4494.8717948718;4197.94871794872;4174.35897435897;4487.69230769231;4411.79487179487;3906.15384615385;4386.15384615385;4122.5641025641;4335.89743589744;1698;1683;235.861;235.710372924805;0;0;0;0;
68;0;478;4155.38461538462;4381.02564102564;5077.94871794872;4864.10256410256;4506.66666666667;4495.38461538462;4201.02564102564;4179.48717948718;4489.23076923077;4412.30769230769;3908.71794871795;4393.33333333333;4124.61538461538;4338.46153846154;1698;1684;235.868;235.710372924805;0;0;0;0;
69;0;479;4155.89743589744;4380.51282051282;5081.02564102564;4863.58974358974;4508.20512820513;4489.74358974359;4197.94871794872;4180.51282051282;4490.25641025641;4412.82051282051;3909.74358974359;4394.35897435897;4125.12820512821;4336.41025641026;1698;1683;235.876;235.710372924805;0;0;0;0;
70;0;486;4154.35897435897;4374.35897435897;5080.51282051282;4861.02564102564;4504.10256410256;4489.74358974359;4195.38461538462;4183.58974358974;4490.25641025641;4412.30769230769;3907.17948717949;4394.35897435897;4122.5641025641;4336.41025641026;1698;1683;235.884;235.710372924805;0;0;0;0;
71;0;423;4154.35897435897;4370.76923076923;5083.07692307692;4858.97435897436;4502.05128205128;4492.30769230769;4195.38461538462;4186.66666666667;4492.30769230769;4415.38461538462;3908.71794871795;4397.4358974359;4124.61538461538;4340;1700;1681;235.892;235.835479736328;0;0;0;0;
72;0;415;4158.46153846154;4375.38461538462;5089.74358974359;4856.92307692308;4504.10256410256;4491.28205128205;4199.48717948718;4186.66666666667;4498.46153846154;4423.07692307692;3917.4358974359;4402.05128205128;4133.84615384615;4343.58974358974;1699;1682;235.9;235.835479736328;0;0;0;0;
